nome_posto,rodovia,uf,municipio,km,latitude,longitude,concessionaria,situacao,tipo_pista,sentido,geometry
PRF ATIBAIA F6-32,BR-381,SP,Atibaia,47.399,-23.19135,-46.585265,AUTOPISTA FERNÃO DIAS,Ativo,Principal,Crescente,POINT (-46.585265 -23.19135)
PRF VARGEM F6-31,BR-381,SP,Vargem,8.880,-22.917532,-46.431892,AUTOPISTA FERNÃO DIAS,Ativo,Principal,Decrescente,POINT (-46.431892 -22.917532)
PRF ITAPEVA,BR-381,MG,Itapeva,926.318,-22.768579,-46.21007,AUTOPISTA FERNÃO DIAS,Ativo,Principal,Crescente/Decrescente,POINT (-46.21007 -22.768579)
PRF POUSO ALEGRE,BR-381,MG,Pouso Alegre,871.060,-22.397376,-45.959924,AUTOPISTA FERNÃO DIAS,Ativo,Principal,Crescente/Decrescente,POINT (-45.959924 -22.397376)
PRF TRÊS CORAÇÕES,BR-381,MG,Três Corações,758.460,-21.690201,-45.349674,AUTOPISTA FERNÃO DIAS,Ativo,Principal,Crescente/Decrescente,POINT (-45.349674 -21.690201)
PRF PERDÕES,BR-381,MG,Perdões,679.044,-21.120093,-45.095727,AUTOPISTA FERNÃO DIAS,Ativo,Principal,Crescente/Decrescente,POINT (-45.095727 -21.120093)
PRF OLIVEIRA,BR-381,MG,Oliveira,608.900,-20.669336,-44.738065,AUTOPISTA FERNÃO DIAS,Ativo,Principal,Crescente/Decrescente,POINT (-44.738065 -20.669336)
PRF ITAIAIUÇU,BR-381,MG,Itatiaiuçu,537.700,-20.209054,-44.390488,AUTOPISTA FERNÃO DIAS,Ativo,Principal,Crescente/Decrescente,POINT (-44.390488 -20.209054)
PRF BETIM,BR-381,MG,Betim,499.175,-19.996602,-44.209103,AUTOPISTA FERNÃO DIAS,Ativo,Principal,Crescente/Decrescente,POINT (-44.209103 -19.996602)
UOP 01 da 5ª DEL,BR-101,RJ,Campos dos Goytacazes,27.800,-21.447613,-41.34312,AUTOPISTA FLUMINENSE,Ativo,Principal,Decrescente,POINT (-41.34312 -21.447613)
UOP 02 da 5ª DEL,BR-101,RJ,Campos dos Goytacazes,78.150,-21.835839,-41.42062,AUTOPISTA FLUMINENSE,Ativo,Principal,Decrescente,POINT (-41.42062 -21.835839)
UOP 04 da 2ª DEL,BR-101,RJ,Casimiro de Abreu,203.370,-22.475444,-42.172346,AUTOPISTA FLUMINENSE,Ativo,Principal,Crescente,POINT (-42.172346 -22.475444)
UOP 03 da 2ª DEL,BR-101,RJ,Rio Bonito,269.050,-22.715042,-42.679022,AUTOPISTA FLUMINENSE,Ativo,Principal,Crescente,POINT (-42.679022 -22.715042)
UOP 02 da 2ª DEL,BR-101,RJ,São Gonçalo,308.070,-22.792949,-43.024864,AUTOPISTA FLUMINENSE,Ativo,Principal,Crescente,POINT (-43.024864 -22.792949)
EDF 101 SC 025+800 S 1,BR-101,SC,Joinville,25.800,-26.190284,-48.91205,AUTOPISTA LITORAL SUL,Ativo,Principal,Crescente,POINT (-48.91205 -26.190284)
EDF 101 SC 081+600 S 1,BR-101,SC,Barra Velha,81.600,-26.610073,-48.722579,AUTOPISTA LITORAL SUL,Ativo,Principal,Crescente,POINT (-48.722579 -26.610073)
EDF 101 SC 143+200 N 1,BR-101,SC,Itapema,143.200,-27.065953,-48.595563,AUTOPISTA LITORAL SUL,Ativo,Principal,Decrescente,POINT (-48.595563 -27.065953)
EDF 101 SC 190+260 N 1,BR-101,SC,Biguaçu,190.260,-27.470479,-48.641028,AUTOPISTA LITORAL SUL,Ativo,Principal,Decrescente,POINT (-48.641028 -27.470479)
EDF 101 SC 220+200 N 1,BR-101,SC,Palhoça,220.200,-27.695095,-48.661869,AUTOPISTA LITORAL SUL,Ativo,Principal,Decrescente,POINT (-48.661869 -27.695095)
EDF 116 PR 094+910 S 1,BR-116,PR,São José dos Pinhais,94.910,-25.526761,-49.140596,AUTOPISTA LITORAL SUL,Ativo,Principal,Crescente,POINT (-49.140596 -25.526761)
EDF 376 PR 662+000 S 1,BR-376,PR,Tijucas do Sul,662.000,-25.853184,-48.977461,AUTOPISTA LITORAL SUL,Ativo,Principal,Crescente,POINT (-48.977461 -25.853184)
EDF 116 PR 137+400 S 1,BR-116,PR,Mandirituba,137.400,-25.741265,-49.317703,AUTOPISTA PLANALTO SUL,Ativo,Principal,Crescente,POINT (-49.317703 -25.741265)
EDF 116 SC 001+000 N 1,BR-116,SC,Mafra,1.000,-26.116157,-49.785989,AUTOPISTA PLANALTO SUL,Ativo,Principal,Decrescente,POINT (-49.785989 -26.116157)
EDF 116 SC 119+600 N 1,BR-116,SC,Santa Cecília,119.600,-26.825977,-50.370947,AUTOPISTA PLANALTO SUL,Ativo,Principal,Decrescente,POINT (-50.370947 -26.825977)
EDF 116 SC 199+900 S 1,BR-116,SC,Ponte Alta,199.900,-27.427635,-50.410321,AUTOPISTA PLANALTO SUL,Ativo,Principal,Crescente,POINT (-50.410321 -27.427635)
EDF 116 SC 279+000 N 1,BR-116,SC,Capão Alto,279.000,-28.031477,-50.562307,AUTOPISTA PLANALTO SUL,Ativo,Principal,Decrescente,POINT (-50.562307 -28.031477)
EDF 116 SP 285+700 S 1,BR-116,SP,Itapecerica da Serra,285.700,-23.690063,-46.862847,AUTOPISTA REGIS BITTENCOURT,Ativo,Principal,Crescente,POINT (-46.862847 -23.690063)
EDF 116 SP 344+000 S 2,BR-116,SP,Miracatu,344.000,-24.029973,-47.17829,AUTOPISTA REGIS BITTENCOURT,Ativo,Principal,Crescente,POINT (-47.17829 -24.029973)
EDF 116 SP 387+500 N 1,BR-116,SP,Miracatu,387.500,-24.267563,-47.393229,AUTOPISTA REGIS BITTENCOURT,Ativo,Principal,Decrescente,POINT (-47.393229 -24.267563)
EDF 116 SP 439+500 S 1,BR-116,SP,Registro,439.500,-24.45704,-47.814402,AUTOPISTA REGIS BITTENCOURT,Ativo,Principal,Crescente,POINT (-47.814402 -24.45704)
EDF 116 SP 525+700 N 1,BR-116,SP,Barra do Turvo,525.700,-24.928686,-48.271991,AUTOPISTA REGIS BITTENCOURT,Ativo,Principal,Decrescente,POINT (-48.271991 -24.928686)
EDF 116 PR 055+700 N 1,BR-116,PR,Campina Grande do Sul,55.700,-25.28018,-48.926204,AUTOPISTA REGIS BITTENCOURT,Ativo,Principal,Decrescente,POINT (-48.926204 -25.28018)
EDF 116 SP 287+050 S 1,BR-116,SP,Itapecerica da Serra,287.050,-23.700308,-46.869051,AUTOPISTA REGIS BITTENCOURT,Ativo,Principal,Crescente,POINT (-46.869051 -23.700308)
Posto da Polícia Rodoviária Federal - Brasília,BR-60,DF,Brasília,13.160,-15.928695,-48.167905,CONCEBRA,Ativo,Principal,Crescente,POINT (-48.167905 -15.928695)
Delegacia da Polícia Rodoviária Federal - Anápolis,BR-60,GO,Anápolis,86.000,-16.32,-48.870506,CONCEBRA,Ativo,Principal,Crescente/Decrescente,POINT (-48.870506 -16.32)
Posto da Polícia Rodoviária Federal - Goiânia,BR-60,GO,Goianápolis,130.100,-16.57555,-49.160788,CONCEBRA,Ativo,Principal,Crescente/Decrescente,POINT (-49.160788 -16.57555)
Posto da Polícia Rodoviária Federal - Hidrolândia,BR-153,GO,Hidrolândia,525.200,-16.921267,-49.252163,CONCEBRA,Ativo,Principal,Crescente/Decrescente,POINT (-49.252163 -16.921267)
Delegacia da Polícia Rodoviária Federal Morrinhos,BR-153,GO,Morrinhos,609.600,-17.626217,-49.177965,CONCEBRA,Ativo,Principal,Crescente/Decrescente,POINT (-49.177965 -17.626217)
Posto da Polícia Rodoviária Federal - Itumbiara,BR-153,GO,Itumbiara,688.900,-18.290999,-49.238828,CONCEBRA,Ativo,Principal,Crescente/Decrescente,POINT (-49.238828 -18.290999)
Posto da Polícia Rodoviária Federal - Monte Alegre,BR-153,MG,Monte Alegre de Minas,56.600,-18.867567,-49.066689,CONCEBRA,Ativo,Principal,Crescente/Decrescente,POINT (-49.066689 -18.867567)
Posto da Polícia Rodoviária Federal - Frutal,BR-153,MG,Frutal,194.100,-19.920475,-48.96116,CONCEBRA,Ativo,Principal,Crescente,POINT (-48.96116 -19.920475)
Posto da Polícia Rodoviária Federal - Bom Despacho,BR-262,MG,Bom Despacho,474.500,-19.786738,-45.231728,CONCEBRA,Ativo,Principal,Decrescente,POINT (-45.231728 -19.786738)
Posto da Polícia Rodoviária Federal - Corrego Danta,BR-262,MG,Córrego Danta,575.200,-19.67631,-46.043841,CONCEBRA,Ativo,Principal,Crescente,POINT (-46.043841 -19.67631)
Delegacia da Polícia Rodoviária Federal - Araxá,BR-262,MG,Araxá,677.400,-19.552848,-46.878542,CONCEBRA,Ativo,Principal,Crescente,POINT (-46.878542 -19.552848)
UN 020202,BR-163,MT,Itiquira,48.000,-17.090969,-54.760367,CRO,Ativo,Principal,Decrescente,POINT (-54.760367 -17.090969)
UN 020201,BR-364,MT,Rondonópolis,211.400,-16.417169,-54.706667,CRO,Ativo,Principal,Decrescente,POINT (-54.706667 -16.417169)
UN 020101,BR-364,MT,Santo Antônio de Leverger,387.900,-15.701369,-55.873669,CRO,Ativo,Principal,Decrescente,POINT (-55.873669 -15.701369)
UN 020402,BR-364,MT,Várzea Grande,434.600,-15.649246,-56.195049,CRO,Ativo,Principal,Crescente,POINT (-56.195049 -15.649246)
UN 020401,BR-364,MT,Diamantino,587.900,-14.532093,-56.230782,CRO,Ativo,Principal,Decrescente,POINT (-56.230782 -14.532093)
UN 020601,BR-163,MT,Sorriso,733.000,-12.697762,-55.811428,CRO,Ativo,Principal,Decrescente,POINT (-55.811428 -12.697762)
PRF SAU-02,BR-50,GO,Campo Alegre de Goiás,163.760,-17.285666,-47.757327,ECO050,Ativo,Principal,Decrescente,POINT (-47.757327 -17.285666)
CATALÃO,BR-50,GO,Catalão,286.340,-18.222117,-47.972679,ECO050,Ativo,Principal,Crescente,POINT (-47.972679 -18.222117)
ARAGUARI,BR-50,MG,Araguari,42.200,-18.693424,-48.181693,ECO050,Ativo,Principal,Crescente,POINT (-48.181693 -18.693424)
UBERABA,BR-50,MG,Uberaba,166.300,-19.703427,-47.98568,ECO050,Ativo,Principal,Decrescente,POINT (-47.98568 -19.703427)
PRF São Matheus,BR-101,ES,São Mateus,57.767,-18.648967,-39.873538,ECO101,Ativo,Principal,Crescente,POINT (-39.873538 -18.648967)
PRF Linhares,BR-101,ES,Linhares,152.831,-19.422318,-40.077917,ECO101,Ativo,Principal,Crescente,POINT (-40.077917 -19.422318)
PRF Serra,BR-101,ES,Serra,251.846,-20.096784,-40.339347,ECO101,Ativo,Principal,Crescente,POINT (-40.339347 -20.096784)
PRF Viana,BR-101,ES,Viana,304.768,-20.382689,-40.459486,ECO101,Ativo,Principal,Crescente,POINT (-40.459486 -20.382689)
PRF Guarapari,BR-101,ES,Guarapari,345.206,-20.658808,-40.613612,ECO101,Ativo,Principal,Crescente,POINT (-40.613612 -20.658808)
PRF Cachoeiro de Itapemirim,BR-101,ES,Itapemirim,414.080,-20.924125,-41.07814,ECO101,Ativo,Principal,Decrescente,POINT (-41.07814 -20.924125)
PRF Serra,BR-101,ES,Serra,251.847,-20.096783,-40.339346,ECO101,Ativo,Principal,Crescente,POINT (-40.339346 -20.096783)
PRF Viana,BR-101,ES,Viana,304.769,-20.382688,-40.459485,ECO101,Ativo,Principal,Crescente,POINT (-40.459485 -20.382688)
PRF Guarapari,BR-101,ES,Guarapari,345.207,-20.658807,-40.613611,ECO101,Ativo,Principal,Crescente,POINT (-40.613611 -20.658807)
PRF Linhares,BR-101,ES,Linhares,152.832,-19.422317,-40.077916,ECO101,Ativo,Principal,Crescente,POINT (-40.077916 -19.422317)
PRF1,BR-116,RS,Arroio Grande,610.550,-32.23236,-53.057921,ECOSUL,Ativo,Principal,Crescente,POINT (-53.057921 -32.23236)
PRF2,BR-116,RS,Pelotas,508.480,-31.612857,-52.305062,ECOSUL,Ativo,Principal,Crescente,POINT (-52.305062 -31.612857)
PRF3,BR-392,RS,Rio Grande,47.700,-31.890948,-52.318425,ECOSUL,Ativo,Principal,Decrescente,POINT (-52.318425 -31.890948)
PRF4,BR-392,RS,Rio Grande,28.400,-32.059242,-52.270662,ECOSUL,Ativo,Principal,Crescente/Decrescente,POINT (-52.270662 -32.059242)
PRF5,BR-116,RS,Pelotas,524.000,-31.728165,-52.387854,ECOSUL,Ativo,Marginal,Crescente,POINT (-52.387854 -31.728165)
POSTO RODOVIÁRIO FEDERAL PORANGATU,BR-153,GO,Porangatu,67.000,-13.406226,-49.131292,ECOVIAS DO ARAGUAIA,Ativo,Principal,Crescente,POINT (-49.131292 -13.406226)
POSTO RODOVIÁRIO FEDERAL URUAÇU,BR-153,GO,Uruaçu,192.600,-14.469712,-49.156157,ECOVIAS DO ARAGUAIA,Ativo,Principal,Crescente,POINT (-49.156157 -14.469712)
POSTO RODOVIÁRIO FEDERAL JARAGUÁ,BR-153,GO,Jaraguá,361.000,-15.774878,-49.306928,ECOVIAS DO ARAGUAIA,Ativo,Principal,Crescente,POINT (-49.306928 -15.774878)
POSTO RODOVIÁRIO FEDERAL GURUPI,BR-153,TO,Gurupi,666.500,-11.674158,-49.065075,ECOVIAS DO ARAGUAIA,Ativo,Principal,Crescente,POINT (-49.065075 -11.674158)
Delegacia DEL 15 - Uberlandia,BR-365,MG,Uberlândia,631.350,-18.897694,-48.382583,ECOVIAS DO CERRADO,Ativo,Principal,Crescente,POINT (-48.382583 -18.897694)
Unidade Operacional - UOP Uberlandia,BR-365,MG,Uberlândia,631.350,-18.897694,-48.382583,ECOVIAS DO CERRADO,Ativo,Principal,Crescente,POINT (-48.382583 -18.897694)
Unidade Operacional - UOP Cachoeira Alta,BR-364,GO,Cachoeira Alta,92.650,-18.473024,-51.082241,ECOVIAS DO CERRADO,Ativo,Principal,Decrescente,POINT (-51.082241 -18.473024)
Unidade Operacional - UOP Jataí,BR-364,GO,Jataí,191.300,-17.923583,-51.689722,ECOVIAS DO CERRADO,Ativo,Principal,Decrescente,POINT (-51.689722 -17.923583)
Delegacia DEL 05 - Jataí,BR-364,GO,Jataí,191.300,-17.923583,-51.689722,ECOVIAS DO CERRADO,Ativo,Principal,Decrescente,POINT (-51.689722 -17.923583)
Delegacia em Niterói,BR-101,RJ,Niterói,322.080,-22.878384,-43.114368,ECOVIAS PONTE,Ativo,Principal,Crescente,POINT (-43.114368 -22.878384)
Unidade Operacional Niterói,Acesso N 02,RJ,Niterói,0.100,-22.879268,-43.114084,ECOVIAS PONTE,Ativo,Principal,Crescente,POINT (-43.114084 -22.879268)
Unidade Operacional RJ,BR-101,RJ,Rio de Janeiro,332.800,-22.879383,-43.211877,ECOVIAS PONTE,Ativo,Principal,Crescente,POINT (-43.211877 -22.879383)
